Spec;Taxon
20 different taxa;Unknown
41 functional groups;Unknown
48 functional groups with the important commercial species.;Unknown
75 species recorded in catch registrations;Unknown
8 species;Unknown
aequopecten opercularis;aequipecten opercularis
algae;Algae
alien shrimps;Stomatopoda
all fish species caught;Fish
all fish species caught in the ibts;Benthic Fish
all fish species caught in the international bottom trawl survey in the mediterranean;Benthic Fish
all fish species caught in the medits survey;Benthic Fish
all megabenthos;Benthos
all species with trophic level of 3.5 or higher;Unknown
alyconium palatum;alcyonium palmatum
anemone (indet.);Actiniaria
anemones;Actiniaria
annelids;annelida
arenicola spp.;arenicola
astropecten spp.;astropecten
atelecyclus undecimendatus;atelecyclus undecimdentatus
auks;Alcidae 
barnacles;Cirripedia
benniidae;blenniidae
benthic communities;Benthos
benthic community;Benthos
benthic epifauna;Benthos_epifauna
benthic fgs;Benthic Fish
benthic habitat;Habitat
benthic invertebrate ectotherms;Benthos
benthic invertebrates;Benthos
benthic macroinvertebrate;Benthos
bentho and pelagic fish;Fish
benthoctopus spp.;benthoctopus spp.
benthos;Benthos
bilvalvia;bivalvia
biogeochemical parameters and fluxes;habitat
biogeochemistry;Habitat
biological traits (48 life history modes);unknown
bivalve community composition;bivalvia
bivalves;bivalvia
boxcore;Benthos_infauna
bryozoans;bryozoa
buccinium undatum;buccinum undatum
calonectris diomedia;calonectris diomedea
cephalopods;cephalopoda
charybdis longicollis;Charybdis longicollis
chondrilla nuculla;chondrilla nucula
chondrocladia gigantean;chondrocladia gigantea
cnidarians;cnidaria
conger sp.;conger
crabs;Brachyura
crustacean feeders;Fish
crustaceans;crustacea
crustaceans (liocarcinus depurator, medorippe lanata, goneplax rhomboides);crustacea
dab (limanda limanda);limanda limanda
decapods;decapoda
demersal;Benthic community
demersal fish;Benthic fish
demersal fishes;Benthic fish
dendrophyllia cronigera;dendrophyllia cornigera
dermychelys coriacea;dermochelys coriacea
divers;unknown
diving ducks;mergini
dolphins;Delphinidae
donnax trunculus;donax trunculus
echinoderms;Echinoidea
echinos spec;echinus
elasmobranch;elasmobranchii
elasmobranches;elasmobranchii
elasmobranchs;elasmobranchii
ensis spp.;ensis
epibenthic communities;Benthos_epifauna
epibenthic community;Benthos_epifauna
epifauna;Benthos_epifauna
epinephelus spec;Epinephelus
epinephelus spp.;epinephelus
eunicella cavolinii;eunicella cavolini
eunis habitat type;Habitat
fish;Fish
fish assemblages;Fish
fish community;Fish
fish species caught by spearfisheries;Fish
fish teleost;Teleostei
fish with complex life histories;Fish
fishery for (but not testing any effect on) solea solea;Unknown
flatfish;Benthic Fish
flatfishes;Benthic Fish
fouling epifauna on litter;Benthos_epifauna
free-living epifauna;Benthos_epifauna
fulica atra;fulica atra
full fish community;Fish
gastrapoda;gastropoda
gastropods;gastropoda
gersemia spp.;gersemia
gorgonian;Alcyonacea
gorgonians;Alcyonacea
grebes;Podiceps
groupers;Epinephelinae
habitat: sediment;Habitat
haemullidae;Haemulidae
hake merluccius merluccius;merluccius merluccius
holoturian;Holothuroidea
holoturoidea;Holothuroidea
hydrobates pelagicus melitensis;Hydrobates pelagicus
hydroidea;Hydrozoa
hydrozoans;hydrozoa
infauna;Benthos_infauna
infauna and very small epifauna;Benthos_infauna
interface feeders;Unknown
invertebrates;Benthos
l. piscatorius;lophius piscatorius
l. saccharina;Saccharina latissima
large fish feeders;Fish
large infauna and epifaunal organisms;Benthos_epifauna
large piscivores;Fish
larger epifauna and fish;Benthic community
larus  audouinii;Ichthyaetus audouinii
larus mannus;larus marinus
larus spp.;larus
lepidorhombus spp.;Lepidorhombus
lepidorhombus wiffiagonis;lepidorhombus whiffiagonis
lithognatus mormyrus;lithognathus mormyrus
lnachus dorsettensis;Inachus dorsettensis
lophelia reefs;lophelia pertusa
lophius sp.;lophius
lophius spp.;lophius
mackerel (scomber scombrus);scomber scombrus
macrobenthic communities;Benthos
macrobenthos;Benthos
macrofauna;Benthos
macrofauna communities;Benthos
macrophyta;Unknown
macropodia spp.;macropodia
macroramphosidae;Macroramphosus scolopax
maenidae;Sparidae
maerl;rhodolith
mainly crustaceans;crustacea
marine turtles;Chelonioidea
megabenthic species;Benthic community
megabenthos;Benthos
melongrammus aeglefinus;melanogrammus aeglefinus
mergansers;mergus
merlucsius merluccius;merluccius merluccius
metazoan meiofauna;Benthos
mixed assemblage;Unknown
modelled benthic community;Benthos
mollusc community;mollusca
molluscs;mollusca
molluscs (infaunal and epifaunal);mollusca
most demersal fish teleost and alsmobranch;Benthic Fish
mud;habitat
muddy sand area;habitat
mugil spp.;mugil
mulletus barbatus;mullus barbatus
mullus barbarus;mullus barbatus
mullus spp;mullus
mullus spp.;mullus
multiple species and higher taxa;Unknown
mussels;Mytilidae
mustelus spp.;mustelus
natantia;decapoda
nematodes;nematoda
nemerteans;nemertea
neophrop nervegicus;nephrops norvegicus
nephrops novegicus;nephrops norvegicus
none specified;Unknown
nudibranch indet.;Nudibranchia
numerous sensitve fish species;Fish
ombrina cirrosa;Umbrina cirrosa
ophio thrix fragilis;ophiothrix fragilis
osteichthyia;osteichthyes
other commercial non-target species;Fish
others;Unknown
pagellus arcane;Pagellus acarne
pagellus spp;pagellus
pagurus sp;pagurus
parapenaeus longiristris;parapenaeus longirostris
pelagic;Pelagic Fish
pelagic fish;Pelagic Fish
pennatulids;Pennatulidae
percarid crustaceans;peracarida
peyssonnelia beds;Peyssonnelia
phalacrocorax aristotelis desmarestii;Gulosus aristotelis
phoronidea;Phoronida
phoronids;Phoronida
phytoplankton;Plankton
pleuronectes plattessa;pleuronectes platessa
polychaetes;polychaeta
pomatoshistus spp.;pomatoschistus
porania pulvillus;porania pulvillus
predating and scavenging benthos;Benthos
predating/scavenging species;Unknown
protozoans;protozoa
pufferfishes;Tetraodontidae
raja spp.;raja
rays;raja
red algae beds;rhodolith
red king crab (paralithodes camtschaticus);paralithodes camtschaticus
redfish (sebastes spp.);sebastes spp
rock corals;anthozoa
sand;Habitat
scallop;pecten maximus
scallop (pecten maximus);pecten maximus
scallops p. maximus;pecten maximus
scleractinian;Scleractinia
scyliorhynus canicula;scyliorhinus canicula
sea urchins;Echinoidea
sea-bottom contact in general;unknown
seaducks;mergini
seafloor;Habitat
sediment resuspension;habitat
sepia spp.;sepia
sessile and mobile epifauna;Benthos_epifauna
sessile epifauna;Benthos_epifauna
several benthic taxa;Benthic community
sharks;selachii
short-beaked common dolphin (delphinus delphis);delphinus delphis
sipunculans;sipuncula
skates;Rajidae
small pelagics;Pelagic Fish
small sponges;porifera
solea spp;solea
spicara exuosa;spicara flexuosa
sponges;porifera
squalus spp.;squalus
squid;cephalopoda
starfish;Asteroidea
stenella coereuleoalba;stenella coeruleoalba
teleosts;Teleostei
teleosts excluding pleuronectiformes;teleostei
top predators;Unknown
torpedo marorata;torpedo marmorata
trachurus spp.;trachurus
trait based benthic communities;Benthos
trawl marks;Habitat
triple d-dredge-catches;Benthos_epifauna
tunicates;tunicata
turbelaria;Platyhelminthes 
turbellaria;Platyhelminthes 
tursiop truncates;tursiops truncatus
tursiops truncata;tursiops truncatus
urchins;Echinoidea
vulnerable benthic invertebrates;Benthos
whelk;buccinidae
whelks;buccinoidea
zooplankton;Plankton
