Year;Rec (thousands);Spawning Stock Biomass;Stock;Comments
1998;377949,00;3159,00;Hake 17-18;SSB (females)
1999;314041,00;2970,00;Hake 17-18;SSB (females)
2000;491860,00;3100,00;Hake 17-18;SSB (females)
2001;456429,00;2917,00;Hake 17-18;SSB (females)
2002;500071,00;2646,00;Hake 17-18;SSB (females)
2003;466046,00;3016,00;Hake 17-18;SSB (females)
2004;580616,00;2988,00;Hake 17-18;SSB (females)
2005;653281,00;3233,00;Hake 17-18;SSB (females)
2006;576703,00;3305,00;Hake 17-18;SSB (females)
2007;538905,00;2911,00;Hake 17-18;SSB (females)
2008;427866,00;2839,00;Hake 17-18;SSB (females)
2009;445250,00;2801,00;Hake 17-18;SSB (females)
2010;442583,00;2435,00;Hake 17-18;SSB (females)
2011;437259,00;1936,00;Hake 17-18;SSB (females)
2012;483923,00;1679,00;Hake 17-18;SSB (females)
2013;334048,00;1427,00;Hake 17-18;SSB (females)
2014;331292,00;1344,00;Hake 17-18;SSB (females)
2015;489151,00;1510,00;Hake 17-18;SSB (females)
2016;399050,00;1415,00;Hake 17-18;SSB (females)
2017;404425,00;1432,00;Hake 17-18;SSB (females)
2018;366616,00;1781,00;Hake 17-18;SSB (females)
2019;442777,00;2040,00;Hake 17-18;SSB (females)
2020;312207,00;2434,00;Hake 17-18;SSB (females)
2021;270053,00;3054,00;Hake 17-18;SSB (females)
2004;76443,00;1426,00;Hake19;
2005;64670,00;1164,00;Hake19;
2006;61241,00;1256,00;Hake19;
2007;50532,00;1336,00;Hake19;
2008;49805,00;1338,00;Hake19;
2009;48535,00;1301,00;Hake19;
2010;49289,00;1188,00;Hake19;
2011;49563,00;1105,00;Hake19;
2012;47037,00;1076,00;Hake19;
2013;37138,00;1152,00;Hake19;
2014;41341,00;1222,00;Hake19;
2015;53883,00;1067,00;Hake19;
2016;53923,00;1068,00;Hake19;
2017;52464,00;975,00;Hake19;
2018;44380,00;1007,00;Hake19;
2019;47756,00;1122,00;Hake19;
2020;40029,00;1356,00;Hake19;
2021;51566,00;1527,00;Hake19;
2006;1146091,00;6726,00;Red mullet 17-18;
2007;889331,00;5824,00;Red mullet 17-18;
2008;751260,00;5099,00;Red mullet 17-18;
2009;793655,00;4332,00;Red mullet 17-18;
2010;853474,00;4318,00;Red mullet 17-18;
2011;911950,00;5129,00;Red mullet 17-18;
2012;1064667,00;5245,00;Red mullet 17-18;
2013;946500,00;5581,00;Red mullet 17-18;
2014;831910,00;5470,00;Red mullet 17-18;
2015;1029924,00;5269,00;Red mullet 17-18;
2016;956316,00;5877,00;Red mullet 17-18;
2017;785539,00;5837,00;Red mullet 17-18;
2018;909433,00;5112,00;Red mullet 17-18;
2019;1005851,00;6483,00;Red mullet 17-18;
2020;845617,00;8815,00;Red mullet 17-18;
2002;204419,00;2458,26;Red mullet 19;
2003;103136,00;1376,53;Red mullet 19;
2004;161048,00;815,71;Red mullet 19;
2005;101700,00;808,98;Red mullet 19;
2006;68635,00;655,62;Red mullet 19;
2007;56707,00;514,52;Red mullet 19;
2008;78237,00;445,47;Red mullet 19;
2009;83443,00;531,79;Red mullet 19;
2010;69939,00;533,32;Red mullet 19;
2011;60811,00;477,43;Red mullet 19;
2012;51539,00;396,73;Red mullet 19;
2013;41388,00;437,26;Red mullet 19;
2014;58717,00;441,57;Red mullet 19;
2015;49851,00;494,35;Red mullet 19;
2016;59669,00;681,94;Red mullet 19;
2017;69548,00;754,99;Red mullet 19;
2018;55186,00;778,94;Red mullet 19;
2019;46510,00;564,90;Red mullet 19;
2020;43194,00;580,26;Red mullet 19;
2021;50527,00;689,30;Red mullet 19;
2002;1369483,00;1814,00;Deep-water rose shrimp 17-1819;
2003;1571592,00;1924,00;Deep-water rose shrimp 17-1819;
2004;1776032,00;1878,00;Deep-water rose shrimp 17-1819;
2005;1962427,00;1857,00;Deep-water rose shrimp 17-1819;
2006;2129810,00;2093,00;Deep-water rose shrimp 17-1819;
2007;2282465,00;2132,00;Deep-water rose shrimp 17-1819;
2008;2397240,00;2173,00;Deep-water rose shrimp 17-1819;
2009;2419753,00;2156,00;Deep-water rose shrimp 17-1819;
2010;2316978,00;2074,00;Deep-water rose shrimp 17-1819;
2011;2134871,00;1822,00;Deep-water rose shrimp 17-1819;
2012;1977507,00;1739,00;Deep-water rose shrimp 17-1819;
2013;1936632,00;1667,00;Deep-water rose shrimp 17-1819;
2014;2055282,00;1763,00;Deep-water rose shrimp 17-1819;
2015;2321873,00;1975,00;Deep-water rose shrimp 17-1819;
2016;2660476,00;2255,00;Deep-water rose shrimp 17-1819;
2017;2947837,00;2550,00;Deep-water rose shrimp 17-1819;
2018;3092065,00;2730,00;Deep-water rose shrimp 17-1819;
2019;3097166,00;2595,00;Deep-water rose shrimp 17-1819;
2020;3028801,00;2440,00;Deep-water rose shrimp 17-1819;
2021;2941620,00;2199,00;Deep-water rose shrimp 17-1819;
