"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;19.3641374014196;13.9495716005605;38.3621022526324;38.6982282935312;NA
1988;19.6063261258055;13.9786665193661;38.2798863663026;38.682333045805;NA
1989;19.1513673988282;13.9121847160012;38.2462527877643;38.6750166687279;NA
1990;19.7010517899297;14.0935674792382;38.2545217863943;38.7160480143453;NA
1991;19.2699047981007;14.0795861663553;38.1750687246047;38.6841588314553;NA
1992;19.2833681098764;13.8383750708263;38.238629614201;38.6915109990724;NA
1993;19.5097823579088;13.9313667461826;38.2235461442332;38.718547854539;NA
1994;20.0040288395143;13.854553728156;38.0589076658371;38.6573473819836;NA
1995;19.2392504120666;13.8123385473504;38.0662128473499;38.660050450605;NA
1996;18.9394715759094;13.8472064727539;38.0874649946487;38.6686358226071;NA
1997;19.3173971814762;13.9507011224627;38.1828917704224;38.6710806653544;NA
1998;19.3881168108257;14.1187211493254;38.23916813094;38.6895469545019;NA
1999;19.7549552246102;14.2726761164752;38.3740255314604;38.7486065202058;7.27213381004227
2000;19.758221861231;14.3386439002951;38.4766784058474;38.7790271109529;6.80367414141706
2001;19.8663152951331;14.508777813338;38.3206218281646;38.7495895083478;6.33787109590314
2002;19.5683553739204;14.4256848031703;38.2746265426985;38.7725411119569;6.55976768167691
2003;20.3927991833849;14.4954647814896;38.4470372112709;38.7713091037734;6.83592640973058
2004;19.7196500360779;14.5162085058224;38.3237095244332;38.8310922913037;7.2377867125707
2005;19.5514084826405;14.4098651011391;38.4080641448741;38.8280215947638;6.76320197299285
2006;19.8451009213071;14.126611784471;38.3769645784352;38.7590074337976;7.00985217171591
2007;19.8687597461914;14.3235245335693;38.2055165483328;38.7498587006149;6.74123917443749
2008;19.8933270785614;14.2320212815717;38.2751550458616;38.7433973985159;6.94053907202411
2009;19.7691196578172;14.1262230744864;38.170557052383;38.6956831106586;7.24091197309047
2010;19.4148439954043;14.2354822371476;38.2122833274472;38.7151921792253;7.32760657330696
2011;20.0616275341771;14.697960002678;38.4655687881798;38.7884635631406;6.79152085566951
2012;20.3715286458739;14.5252522772093;38.5448144449398;38.8366753840545;6.44865634725389
2013;20.0709053159826;14.5348825977361;38.4680384165138;38.8311511926617;6.8443999449549
2014;20.1756260309499;14.7888434196492;38.2657768258089;38.8163608425747;6.68740044590813
2015;20.4465565038305;14.8583859753792;38.4387037116216;38.8443507152515;7.10291880058519
2016;20.1327046049929;14.8501210316394;38.4758463756386;38.8600694063062;6.59645728809351
2017;20.0923740410008;14.6723207303011;38.5467928756032;38.8713086954214;5.95910158997804
2018;20.471378511889;14.5765471995206;38.2935227721125;38.8335567379531;6.73876526531174
2019;20.387581190752;14.7161248312379;38.4037172001228;38.8898958193154;6.89532819017419
2020;20.2818644396653;14.8699418678192;38.5164883821839;38.9401347393041;6.83181941216235
2021;20.4250066067293;14.9107752231122;38.585369904599;38.9518839585204;7.08433797641221
