valid_AphiaID,common_name,valid_name,phylum,class,order,family,genus
126555,Angler,Lophius piscatorius,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius
126436,Atlantic cod,Gadus morhua,Chordata,Teleostei,Gadiformes,Gadidae,Gadus
126417,Atlantic herring,Clupea harengus,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea
126822,Atlantic horse mackerel,Trachurus trachurus,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus
127023,Atlantic mackerel,Scomber scombrus,Chordata,Teleostei,Scombriformes,Scombridae,Scomber
126758,Atlantic wolffish,Anarhichas lupus,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas
126554,Black-bellied angler,Lophius budegassa,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius
367297,Blonde ray,Raja brachyura,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja
127150,Brill,Scophthalmus rhombus,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus
141444,Common cuttlefish,Sepia officinalis,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia
127139,Common dab,Limanda limanda,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda
127160,Common sole,Solea solea,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea
105876,Cuckoo ray,Leucoraja naevus,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja
126447,Cusk,Brosme brosme,Chordata,Teleostei,Gadiformes,Lotidae,Brosme
107109,Deep-water rose shrimp,Parapenaeus longirostris,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapaneus
126426,European anchovy,Engraulis encrasicolus,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis
126285,European conger,Conger conger,Chordata,Teleostei,Anguilliformes,Congridae,Conger
127141,European flounder,Platichthys flesus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys
126484,European hake,Merluccius merluccius,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius
127143,European plaice,Pleuronectes platessa,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes
126975,European seabass,Dicentrarchus labrax,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,Dicentrarchus
126425,European sprat,Sprattus sprattus,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus
140271,European squid,Loligo vulgaris,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo
126755,Greater sand-eel,Hyperoplus immaculatus,Chordata,Teleostei,Perciformes,Ammodytidae,Hyperoplus
126437,Haddock,Melanogrammus aeglefinus,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus
127427,John dory,Zeus faber,Chordata,Teleostei,Zeiformes,Zeidae,Zeus
127140,Lemon sole,Microstomus kitt,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus
126461,Ling,Molva molva,Chordata,Teleostei,Gadiformes,Lotidae,Molva
127146,Megrim,Lepidorhombus whiffiagonis,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Lepidorhombus
126444,Norway pout,Trisopterus esmarkii,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus
126440,Pollack,Pollachius pollachius,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius
126445,Pouting,Trisopterus luscus,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus
127259,Red gurnard,Chelidonichthys cuculus,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys
126985,Red mullet,Mullus barbatus,Chordata,Teleostei,Mulliformes,Mullidae,Mullus
126441,Saithe,Pollachius virens,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius
126421,Sardine,Sardina pilchardus,Chordata,Teleostei,Clupeiformes,Alosidae,Sardina
126752,Small sandeel,Ammodytes tobianus,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes
105814,Smaller spotted catshark,Scyliorhinus canicula,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus
105923,Spiny dogfish,Squalus acanthias,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus
105887,Spotted ray,Raja montagui,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja
126986,Striped red mullet,Mullus surmuletus,Chordata,Teleostei,Mulliformes,Mullidae,Mullus
105883,Thornback ray,Raja clavata,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja
127262,Tub gurnard,Chelidonichthys lucerna,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys
127149,Turbot,Scophthalmus maximus,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus
126438,Whiting,Merlangius merlangus,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius
